date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2018-11-09,"CBU Events Center, Riverside, California","San Diego Christian
			",California Baptist,Home,65.6,21,14.7,5,95.9,96.8,30,0.597,67,0.478,32,0.119,8,0.875,7,0,200.0,117.6,28.1,9,18,87,8.1,6,0.478,32.0,0.5,16.0,61.9,39,0.614,13.5,11,35.0,0.457,16.0,1.0,1
2018-11-13,"Mabee Center, Tulsa, Oklahoma",California Baptist,Oral Roberts,Away,12.0,3,2.4,1,97.2,72.0,18,0.41,67,0.373,25,0.299,20,0.75,15,0,200.0,98.6,28.3,13,16,70,11.3,8,0.299,20.0,0.25,5.0,43.7,31,0.458,6.2,5,47.0,0.426,20.0,1.0,2
2018-11-16,"Donald W. Reynolds Center, Tulsa, Oklahoma",California Baptist,Tulsa,Home,63.0,17,0.0,0,110.8,85.3,29,0.493,68,0.397,27,0.25,17,0.706,12,1,200.0,106.8,31.6,12,28,79,6.8,5,0.618,42.0,0.31,13.0,56.9,41,0.519,12.7,11,26.0,0.538,14.0,0.667,2
2018-11-19,"Lawlor Events Center, Reno, Nevada",California Baptist,Nevada,Home,36.8,7,5.1,2,116.9,63.3,19,0.361,61,0.311,19,0.279,17,0.647,11,2,200.0,71.4,17.9,7,28,55,5.2,4,0.41,25.0,0.24,6.0,37.7,26,0.398,18.9,16,36.0,0.361,13.0,0.5,2
2018-11-23,"Jack Stephens Center, Little Rock, Arkansas",California Baptist,Arkansas-Pine Bluff,Home,32.4,12,2.0,1,117.3,68.4,26,0.526,78,0.474,37,0.462,36,0.694,25,3,275.0,109.2,25.0,11,42,107,5.1,5,0.321,25.0,0.32,8.0,45.1,37,0.563,14.6,16,53.0,0.547,29.0,0.4,2
2018-11-24,"Jack Stephens Center, Little Rock, Arkansas",California Baptist,Howard,Home,41.4,12,2.4,1,111.7,90.6,29,0.556,62,0.468,29,0.323,20,0.75,15,4,200.0,109.1,31.4,11,20,84,2.6,2,0.435,27.0,0.407,11.0,59.7,40,0.587,18.4,16,35.0,0.514,18.0,0.333,2
2018-11-29,"UC Riverside Student Recreation Center, Riverside, California",California Baptist,UC-Riverside,Away,46.2,12,7.7,3,100.0,89.3,25,0.61,50,0.52,26,0.48,24,0.792,19,4,200.0,114.3,18.2,4,22,80,7.1,5,0.44,22.0,0.409,9.0,58.0,29,0.651,18.8,14,28.0,0.607,17.0,0.429,3
2018-12-01,"CBU Events Center, Riverside, California",Mississippi Valley State,California Baptist,Home,59.0,23,4.0,2,86.6,74.4,32,0.658,73,0.534,39,0.205,15,0.733,11,4,200.0,130.5,21.9,7,27,107,6.1,5,0.493,36.0,0.5,18.0,52.0,39,0.668,10.2,9,37.0,0.568,21.0,0.5,4
2018-12-05,"CBU Events Center, Riverside, California",UC-Irvine,California Baptist,Away,30.4,7,6.5,3,97.2,74.3,26,0.474,57,0.404,23,0.298,17,0.706,12,5,200.0,93.0,20.0,6,17,66,7.0,5,0.386,22.0,0.364,8.0,49.2,32,0.507,17.8,14,35.0,0.429,15.0,0.444,4
2018-12-08,"CBU Events Center, Riverside, California","Cal Tech
			",California Baptist,Home,40.7,11,10.5,2,64.0,92.7,38,0.563,56,0.482,27,0.446,25,0.96,24,5,200.0,116.0,11.1,3,15,87,9.3,7,0.411,23.0,0.391,9.0,60.3,41,0.641,14.1,11,33.0,0.545,18.0,0.5,5
